,HITId,tweet,sentiment,directness,annotator_sentiment,target,group
0,4481,Une serveuse de 19 ans raconte son arrestation et l'utilisateur qui a agressé un bus dope a insisté en utilisant le mot « pédé ». 1s @url,offensive_hateful,indirect,sadness_shock,gender,gay
1,4482,je pense que ce pourrait être un pays de merde. synagogue d'événements horribles dégoûtés.,fearful_offensive_hateful_disrespectful_normal,indirect,anger_sadness_shock_indifference_disgust,origin,other
2,4483,"deuxième fois, habituez-vous clickbaitncongrats @user putain de retard @url",offensive,indirect,sadness_indifference,origin,special_needs
3,4484,"@sensibilité de l'utilisateur, qu'est-ce qui va ruiner le pays. on m'a appelé Wetback Spic, je suis putain de c @url",offensive,indirect,confusion_fear_shock_sadness_disgust,origin,immigrants
4,4485,"@user @user @user @user absolument ! comme des armes, comme des libéraux, comme des immigrants... sans papiers !!",offensive,indirect,sadness_indifference,origin,left_wing_people
5,4486,photo appelée digue spic craché visage bras cassé @url,fearful_offensive_hateful_disrespectful_normal,indirect,sadness_shock,sexual_orientation,other
6,4487,"Maddenbishop, le plus gros pédé de tous les temps",abusive_hateful,indirect,anger_fear_indifference_sadness_disgust,sexual_orientation,refugees
7,4488,@user @user donne un vieux bâton d'épices,abusive_offensive_hateful_disrespectful_normal,indirect,sadness_indifference,origin,other
8,4489,"veux que tu saches qu'il y a un cul de pédé, une armée, une fête d'Halloween, j'espère qu'il étouffe un morceau de chocolat",offensive,indirect,sadness_shock,sexual_orientation,individual
9,4490,le retard doit être retardé. _ di pasir berbisik gunung bromo @url,offensive,indirect,anger_confusion_sadness_shock_indifference,origin,special_needs
10,4491,tweeter,normal,indirect,anger_disgust,other,other
11,4492,"je suis parti. imaginez dire à un nègre un rapport sur le colorisme il y a des mois, appelé nègre égoïste",normal,indirect,confusion_indifference,origin,other
12,4493,: h-nnadam : ling ling ching chong mange des chiens,offensive,indirect,confusion_indifference,origin,individual
13,4494,assurez-vous d'aller voir la nouvelle vidéo de @user official_piffboyziggy prd @user @url,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,other
14,4495,j'ai aimé la vidéo @user @url les conneries de boule de feu pédé de dormammu !,offensive,indirect,anger_fear_shock_indifference_sadness,sexual_orientation,other
15,4496,@user @user @user @user @user qui négocie déjà un retard absolu allo @url,offensive,direct,anger_disgust,disability,special_needs
16,4497,"crétins politiques attardés, veuillez rechercher la fausse propagande. les gens rejettent le désespoir @url",fearful_abusive_offensive_hateful_disrespectful,indirect,fear_shock_indifference_sadness_disgust,origin,special_needs
17,4498,La chatte de @user a bégayé suhin ?,offensive,direct,anger_confusion_sadness_indifference_disgust,gender,women
18,4499,@user yes.nhe a besoin de baiser le pays musulman pour pratiquer leur nombre total qui a commencé @url,offensive,direct,anger_disgust,religion,women
19,4500,ughhh je veux manger de la chatte,fearful_abusive_offensive_hateful_normal,indirect,confusion_indifference,gender,women
20,4501,Deany Smith écoute la chanson que nous chantons et nous sommes à 5 points devant nyou grosse chatte de gingembre nwalkin @url,offensive_disrespectful,indirect,anger_fear_indifference_sadness_disgust,other,individual
21,4502,"@user @user stupide ? je suis Connor, un putain d'arriéré",abusive_hateful,indirect,anger_disgust,disability,special_needs
22,4503,"Je pense que la chatte symbolise l'ouverture de la porte de la fenêtre, un cas réel. bébé voit maman' @url",offensive,indirect,confusion_fear_indifference_sadness_disgust,gender,women
