,HITId,tweet,sentiment,directness,annotator_sentiment,target,group
0,1,"ring til min søster, en pige, der stadig holder lukket",offensive,indirect,confusion_disgust,origin,gay
1,2,@bruger @bruger legit nilas retarderet idk,offensive_disrespectful,indirect,anger_confusion,disability,special_needs
2,3,sagde retard @url,fearful_abusive_offensive_hateful,indirect,confusion_disgust,disability,special_needs
3,4,"Amerika endnu 8 år Obamas ideologi via Hillary, vi ville godt nok shithole country.",fearful_abusive_hateful_disrespectful_normal,indirect,anger_fear_shock_sadness_disgust,origin,other
4,5,@bruger don... fik fanden til at græde.,offensive,indirect,shock_disgust,gender,women
5,6,man ønsker 2 negersvane,offensive,indirect,anger_sadness,origin,left_wing_people
6,7,@bruger @bruger @bruger hahaha. en trumfs lortelande?,offensive,indirect,confusion_sadness_indifference_disgust,origin,other
7,8,du juul ur fagot,offensive,indirect,confusion_fear_indifference_sadness_disgust,sexual_orientation,other
8,9,@bruger @bruger kaldte endda country shithole people shithole folk. trist.,offensive,indirect,anger_fear_indifference_sadness_disgust,origin,special_needs
9,10,canadiere har aldrig mødt set associeret person i øjeblikket mærket retarderet. planlægge @url,offensive,indirect,sadness_indifference,disability,special_needs
10,11,@bruger @bruger sydafrika år kommer. bliv ved med at støtte højt mund poli @url,offensive,indirect,confusion_indifference,origin,other
11,12,@bruger jeg er oprah winfrey. oprah syngende bøsse,offensive,direct,confusion_indifference,sexual_orientation,individual
12,13,hahaha vokse fagot @url,offensive,indirect,shock_disgust,sexual_orientation,women
13,14,@bruger michael - live one 'shithole' lande fortæl caravan respektive @url,offensive,indirect,shock_disgust,origin,immigrants
14,15,lørdag husker alle øl spiritus aldrig sygere spiritus øl fucking twat mand fuck,offensive,indirect,confusion_fear_shock_sadness_disgust,other,other
15,16,"dope new gospel - lettere svirp. sjæl beat. vinde. ild allerede. husk på, at jeg er neger / åben min @url",normal,indirect,shock_disgust,origin,other
16,17,"@brugerkø, skide retarderet, får alle til at føle, at selv en tilfældighed gør fcfs fucksake",offensive_hateful,direct,shock_disgust,disability,special_needs
17,18,@bruger mexicansk spic dora,hateful_disrespectful,indirect,shock_disgust,origin,other
18,19,shorty kaldet fagot årsag svare lmfaoooo,offensive,indirect,confusion_indifference,sexual_orientation,other
19,20,"@bruger ok, send måske færdig",normal,indirect,anger_sadness,other,other
20,21,@bruger cunt pinlighed klub,hateful_disrespectful,indirect,sadness_shock_indifference_disgust,gender,women
21,22,"wow ser dokumentarbeviser sager om seksuelle overgreb .. spekulerer på, at voldtægtsforbrydere tror på hvad @url",offensive,indirect,confusion_indifference,other,other
22,23,@user que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,hateful_normal,indirect,shock_disgust,origin,other
23,24,dude jeg er træt retarderet,offensive,indirect,anger_sadness,disability,special_needs
24,25,mongoloid bestilte 9 dusin donuts 8 ringede tilbage se sælge håndværkskaffe,hateful,direct,indifference_disgust,origin,individual
25,26,mener også slaver immigranter. han er fjols skændsel uretfærdigheder gjort *hans* gop hvide mennesker @url,offensive,indirect,confusion_indifference,origin,immigrants
26,27,"ret sikker på, at medarbejder philip green kaldet 'skaldet racistisk sexistisk fjols' ville opfatte dismi @url",offensive,indirect,anger_sadness,other,other
27,28,3 personer skød bevæbnede politibetjente dumme toss @url,abusive_offensive,direct,anger_disgust,gender,women
28,29,@bruger ville honduras guatemala kvalitet shithole lande?...,offensive,indirect,sadness_disgust,origin,other
29,30,@bruger @bruger btw. tilladt sige lort lande? også tilladt sige wes @url,normal,indirect,anger_sadness,origin,other
30,31,jep plus spic & span vokset og poleret: passende mistænkte pjusket profil; nye plakater (ikke falmede på @url,offensive,indirect,confusion_disgust,origin,special_needs
31,32,@bruger @bruger trumfer stemme:min ven kinaman længere os #chanded,offensive,indirect,confusion_indifference,origin,special_needs
32,33,tæve retarderet hader @url,offensive,indirect,anger_sadness,disability,women
33,34,@brugermigranter.7z,abusive_normal,indirect,shock_indifference,origin,other
34,35,hetero fyr: fagot vil vædde med at suge pik nnme: @url,offensive_normal,indirect,indifference_disgust,sexual_orientation,other
35,36,@user fallait pad arriver en retard,abusive_offensive_hateful_disrespectful_normal,indirect,indifference_disgust,disability,special_needs
36,37,ved hjælp af ord retard form fantastisk måde gøre miste enorm mængde respekterer dig.,fearful_offensive_hateful_disrespectful_normal,indirect,shock_disgust,sexual_orientation,other
37,38,alle kender feminazis liggende gd-tænder @user @user @user @url,offensive,indirect,indifference_disgust,other,women
38,39,@brugerpleje moralske vælgere; ønsker liberale illegale udlændinge ms13...,offensive,indirect,indifference_disgust,other,other
